Math Vocabulary,Theorems,Mathematical Concepts,Jargon

"feedback" "improvements via github.com, which greatly improved"
"ordered basis","with respect to an ordered basis in V to coordinates with respect to an ordered basis in W."
"transformation matrix A","the transformation matrix A» with respect to B and C satisfies ®(b,) = an aie; fork =1,...,3 and is given as"
"f : R” — R”" ,"is a vector field, the Hessian is an (m x n x n)-tensor."
"gradient" ,"Vf of a function f is often used for a locally linear approximation of f around a9."
"linear approximation" ,"f(w) © f(@o) + Vef)(®o)(@ — #0)."
"multivariate Taylor series" ,"a special case of a multivariate Taylor series expansion of f at a, where we consider only the first two terms." 
"gradient of f" ,"(V2f)(xo) is the gradient of f with respect to a, evaluated at ap." 
"locally accurate" ,"This approximation is locally accurate, but the farther we move away from xo the worse the approximation gets."
"set of","properties that we are interested in."
"random variable","a function that measures the probability that a particular outcome (or set of outcomes) will occur."
"probability distribution","the function associated with a random variable that measures probabilities of outcomes."
"probabilistic modeling","a building block for other concepts related to probability distributions."
"graphical models","models used in conjunction with probability distributions."
"model selection","a concept that utilizes probability distributions."
"probability space","defined by three concepts: the sample space, the events, and the probability of an event."
"sample space","one of the three concepts that define a probability space."
"events","one of the three concepts that define a probability space."
"probability of an event","one of the three concepts that define a probability space."
"mathematical structure","a framework for defining and analyzing random outcomes."
"operations","Mathematical procedures that are performed on numbers or vectors."
"row vector","A matrix with a single row, typically denoted by variables such as R' or R."
"column vector","A matrix with a single column, typically denoted by variable x."
"transpose","An operation that flips a matrix over its diagonal, converting rows to columns and vice versa."
"vector spaces","A mathematical structure formed by a collection of vectors that can be added together and multiplied by scalars."
"vector subspaces","Sets contained within the original vector space that remain closed under vector space operations."
"dimensionality reduction","A process in machine learning used to reduce the number of variables under consideration by obtaining a set of principal variables." 
"linear subspace","A vector subspace that is itself a vector space with the same operations of addition and scalar multiplication."
"Linear Algebra","A branch of mathematics concerning linear equations, linear functions, and their representations through matrices and vector spaces."
"Systems of Linear Equations","A collection of one or more linear equations involving the same variables."
"Matrices","Rectangular arrays of numbers, symbols, or expressions, arranged in rows and columns."
"Solving Systems of Linear Equations","Finding the values of variables that satisfy all equations in the system."
"Vector Spaces","A collection of vectors, which are objects that can be added together and multiplied by scalars."
"Linear Independence","A property of a set of vectors where no vector can be expressed as a linear combination of the others."
"Basis and Rank","Basis refers to a set of vectors that span a vector space, while rank is the dimension of the vector space spanned by a set of vectors."
"Linear Mappings","Functions that map vectors from one vector space to another while preserving the operations of vector addition and scalar multiplication."
"Affine Spaces","Geometric structures that generalize vector spaces but do not have a natural origin."
"Analytic Geometry","The study of geometry using a coordinate system and the principles of algebra."
"Norms","Functions that assign a positive length or size to vectors in a vector space."
"Inner Products","Generalization of the dot product that allows the measurement of angles and lengths in vector spaces."
"Lengths and Distances","Quantities that measure how far apart two points or vectors are."
"Angles and Orthogonality","Measures of the separation between two intersecting lines or vectors, where orthogonality refers to right angles (90 degrees)."
"Orthonormal Basis","A basis consisting of orthogonal vectors that are all of unit length."
"Orthogonal Complement","A subspace of a vector space that consists of all vectors orthogonal to every vector in a given subspace."
"Inner Product of Functions","A generalization of the inner product concept applied to functions, allowing measurement of similarity."
"Orthogonal Projections","The process of projecting a vector onto a subspace such that the difference is orthogonal to the subspace."
"Rotations","Transformations that turn a shape or vector around a fixed point in space."
"Determinant and Trace","Determinant is a scalar value that can be computed from the elements of a square matrix indicating the volume scaling factor of linear transformations; Trace is the sum of the entries on the main diagonal of a matrix."
"Theorem","A statement that has been proven based on previously established statements such as other theorems, and axioms."
"Random variable","A variable whose possible values are numerical outcomes of a random phenomenon."
"Independence","A condition where two events are unrelated to each other; the occurrence of one does not affect the occurrence of the other."
"Sufficient statistics","Statistics that capture all the information needed to compute any estimate of a parameter."
"Exponential family","A set of probability distributions that can be expressed in a certain form, often related to sufficient statistics."
"Probability","A measure of the likelihood that an event will occur."
"linearly independent","A property of a set of vectors indicating that no vector in the set can be expressed as a linear combination of the others."
"inverse of a matrix","A matrix that, when multiplied by the original matrix, yields the identity matrix."
"rank of a matrix","The dimension of the vector space generated by its rows or columns."
"basis of a vector space","A set of vectors that are linearly independent and span the vector space."
"Gaussian elimination","An algorithm for solving systems of linear equations by transforming the matrix to a simpler form."
"stationary iterative methods","A class of algorithms for solving linear systems by iteratively refining an approximation."
"Richardson method","A stationary iterative method for solving linear equations."
"Jacobi method","An iterative algorithm for solving a diagonal dominant system of linear equations."
"Gauss-Seidel method","An improvement over the Jacobi method for solving linear equations by updating variables as soon as new values are available."
"successive over-relaxation method","An iterative method that accelerates convergence of the Gauss-Seidel method."
"Krylov subspace methods","A group of algorithms for solving linear systems using the Krylov subspace generated by the vectors."
"conjugate gradients","An algorithm for solving systems of linear equations, particularly those that are large and sparse."
"generalized minimal residual","An iterative method for solving linear systems by minimizing the residual."
"biconjugate gradients","An extension of the conjugate gradient method useful for non-symmetric linear systems."
"Eigenvalues and Eigenvectors","A pair of concepts in linear algebra that represent special values associated with a linear transformation."
"Cholesky Decomposition","A method of decomposing a matrix into a lower triangular matrix and its transpose."
"Eigendecomposition and Diagonalization","The process of expressing a matrix in terms of its eigenvectors and eigenvalues."
"Singular Value Decomposition","A factorization of a matrix into three matrices that reveal much about the original matrix's properties."
"Matrix Approximation","A process of finding a simpler matrix that is close to a given matrix."
"Matrix Phylogeny","The study of evolutionary relationships using matrix representations."
"Vector Calculus","A branch of calculus that deals with vector fields and differential operators."
"Differentiation of Univariate Functions","The process of finding the derivative of a single-variable function."
"Partial Differentiation and Gradients","The technique of finding the derivative of a function with respect to one variable while holding others constant."
"Gradients of Vector-Valued Functions","Vectors that represent the rates of change of a vector-valued function concerning its variables."
"Gradients of Matrices","The extension of the concept of gradient to matrix functions."
"Useful Identities for Computing Gradients","Mathematical statements that simplify the process of calculating gradients."
"Backpropagation and Automatic Differentiation","Techniques used in neural networks for computing gradients efficiently."
"Higher-Order Derivatives","Derivatives of derivatives used to understand the behavior of functions more deeply."
"Linearization and Multivariate Taylor Series","Approximations of functions using linear terms and higher-order derivatives."
"Construction of a Probability Space","The formulation of a mathematical model that encapsulates the outcomes of a probabilistic experiment."
"plane","a plane is defined by a support point a, and two linearly independent vectors x,, x, that span the direction space."
"hypermplane","the (n — 1)-dimensional affine subspaces are called hyperplanes."
"parametric equation","the corresponding parametric equation is y = a + an ALi."
"basis","where 21,...,%n—1 form a basis of an (n — 1)-dimensional subspace U of R."
"affine subspace","an affine subspace of R” of dimension n — rk(A)."
"linear equation","the solution of the linear equation sys- tem Ax = 6b is either the empty set or an affine subspace of R.”"
"dimension","the solution of the linear equation Ax1 +... + AnLy = b, is a hyperplane in R”."
"Theorem 2.24","Direct consequences of a theorem related to linear transformations and dimensions of images and kernels."
"dim(Im(®))","Dimension of the image of the transformation ®."
"dim(V)","Dimension of the vector space V."
"ker(®)","Kernel of the transformation ®, representing the set of vectors that map to the zero vector."
"non-trivial","Indicates that the kernel contains more than just the zero vector."
"dim(ker(®))","Dimension of the kernel of the transformation ®."
"transformation matrix","A matrix that represents a linear transformation with respect to an ordered basis."
"system of linear equations","A set of equations that can be solved simultaneously to find the values of variables."
"Aga = 0","A linear equation representing the transformation matrix acting on vector a resulting in the zero vector."
"infinitely many solutions","Indicates that there are an unlimited number of solutions to the system of linear equations."
"injective","A property of a function where it maps distinct elements to distinct images."
"surjective","A property of a function where every element in the codomain has a pre-image in the domain."
"bijective","A property of a function that is both injective and surjective."
"Im(®)","Image of the transformation ®, representing the outputs of the transformation."
"Affine Spaces","Spaces that are offset from the origin and are no longer vector subspaces."
"linear mappings","Functions between vector spaces that preserve the operations of vector addition and scalar multiplication."
"norm","set of vectors with norm 1"
"length","the Euclidean distance of x from the origin"
"absolutely homogeneous","property of the norm"
"triangle inequality","a principle in mathematics stating that for any triangle, the sum of the lengths of any two sides must be greater than or equal to the length of the remaining side"
"positive definite","a property of a function where it is always greater than zero"
"Manhattan norm","a norm that measures the distance in a grid-like path"
"Euclidean norm","also called £2 norm, a standard measure of distance in Euclidean space"
"Euclidean distance","the length of the shortest path between two points in Euclidean space"
"scalar product","a product that results in a scalar quantity"
"dot product","another term for the scalar product"
"bilinear mapping","a mapping that is linear in each of its arguments"
"Euclidean norm (3.4)","defined as ||x||2 = √(∑(xi^2)) for vectors in R^n"
"Inner products","allow for the introduction of classical geometric concepts"
"Multiplication by scalars","Aw = A(21,...,%) = (At1,..., AX) for allA € R,a € R”"
"Vector space","V=R"™*",m,n © N is a vector space"
"Addition","A+ B= : : is defined elementwise for all A, Be V"
"Scalar multiplication","AA = : : as defined in Ami ++: AAmn"
"Equivalent spaces","R”*" is equivalent to R””"
"Complex numbers","VY =C, with the standard definition of addition of complex numbers"
"Standard vector addition","We will denote a vector space (V,+,-) by V when + and - are the standard vector addition and scalar multiplication"
"Notation","We will use the notation a € V for vectors in V to simplify notation"
"Distinction between spaces","The vector spaces R”, R"*', R'*\" are only different in the way we write vectors"
"n-tuples as column vectors","this allows us to write n-tuples as column vectors"
"machine learning","The democratization of machine learning by the provision of open-source software, online tutorials and cloud-based tools allows users to not worry about the specifics of pipelines."
"open-source software","Software that is made available to the public for use, modification, and distribution."
"cloud-based tools","Digital tools and software services that are hosted in the cloud and accessible over the internet."
"data","Facts and statistics collected for analysis."
"insights","Understanding gained through the analysis of data."
"domain experts","Individuals with specialized knowledge or skills in a specific area."
"certification","The process of verifying that a machine learning system meets certain standards."
"risk management","The identification, assessment, and prioritization of risks associated with machine learning systems."
"ethics","Moral principles that govern a person's or group's behavior in the context of machine learning."
"fairness","The quality of making judgments that are free from discrimination or bias in machine learning."
"privacy","The right of individuals to keep their personal information secure and confidential in the context of machine learning."
"probability","measures the probability or degree of belief that the event will occur."
"P(A)","the probability of A."
"interval","the probability of a single event must lie in the interval (0, 1]."
"total probability","the total probability over all outcomes in the sample space must be 1, i.e., P(Q) = 1."
"probability space","Given a probability space (Q, A, P), we want to use it to model some real-world phenomenon."
"target space","we refer to T as the target space."
"states","elements of T are referred to as states."
"function","We introduce a function X : 2 — T that takes an element of 2."
"random variable","this association/mapping from 2 to T is called a random variable."
"outcome","takes an element of 2 (an outcome) and returns a particular quantity of interest x."
"screte and Continuous Probabilities","Probabilities distinguished by whether they take on discrete values or continuous ranges."
"Sum Rule","A rule used in probability to compute the total probability of two mutually exclusive events."
"Product Rule","A rule used in probability to find the joint probability of two independent events."
"Bayes’ Theorem","A theorem that describes how to update the probabilities of hypotheses when given evidence."
"Summary Statistics","Statistics that summarize or describe the main features of a dataset."
"Independence","A property where the occurrence of one event does not affect the occurrence of another."
"Gaussian Distribution","A continuous probability distribution characterized by a bell-shaped curve, also known as the normal distribution."
"Conjugacy","A property in Bayesian statistics where prior and posterior distributions belong to the same family."
"Exponential Family","A class of probability distributions that includes the exponential distribution, normal distribution, and more."
"Change of Variables","A method in calculus used to transform integrals into a different variable."
"Inverse Transform","A technique in probability to obtain random variables with a desired distribution by using the inverse of the cumulative distribution function."
"Continuous Optimization","The process of optimizing an objective function that is continuous."
"Optimization Using Gradient Descent","A method to find the minimum of a function by iteratively moving in the direction of the steepest descent."
"Constrained Optimization","Optimization of a function subject to constraints on the variables."
"Lagrange Multipliers","A method to find the local maxima and minima of a function subject to equality constraints."
"Convex Optimization","A subfield of optimization that studies the problem of minimizing convex functions over convex sets."
"Empirical Risk Minimization","A principle in statistical learning theory that aims to minimize the average loss on a given dataset."
"Parameter Estimation","The process of using data to determine the parameters of a statistical model."
"Probabilistic Modeling and Inference","Creating models that incorporate uncertainty and making predictions or decisions based on those models."
"Directed Graphical Models","Probabilistic models that use directed graphs to represent the conditional dependencies between random variables."
"rs","unordered"
"Z","Integers"
"IN","Natural numbers"
"R","Real numbers"
"C","Complex numbers"
"R"","n-dimensional vector space of real numbers"
"Va","Universal quantifier: for all x"
"da","Existential quantifier: there exists x"
"a:=b","ais defined as b"
"a=:b","b is defined as a"
"axb","a is proportional to b, i.e., a = constant - b"
"gof","Function composition: “g after f”"
"=","If and only if"
"=>","Implies"
"A","Sets"
"C","Sets"
"aceA","ais an element of the set A"
")","Empty set"
"D","Number of dimensions; indexed by d = 1,..., D"
"N","Number of data points; indexed by n = 1,..., N"
"In","Identity matrix of size m x m"
"Onn","Matrix of zeros of size m x n"
"LTin.n","Matrix of ones of size m x n"
"e;","Standard/canonical vector (where i is the component that is 1)"
"dim","Dimensionality of vector space"
"tk(A)","Rank of matrix A"
"Im(®)","Image of linear mapping ®"
"ker(®)","Kernel (null space) of a linear mapping ®"
"span[b;]","Span (generating set) of b;"
"tr(A)","Trace of A"
"det (A)","Determinant of A"
"-|","Absolute value or determinant (depending on context)"
"lI-ll","Norm; Euc"
"wpoint","any object that satisfies two properties can be considered a vector"
"Geometric vectors","directed segments that can be drawn in at least two dimensions"
"vector","an object that can be added and multiplied by a scalar"
"scalar","a real number used to scale a vector"
"addition of vectors","the operation of combining two geometric vectors resulting in another geometric vector" 
"polynomials","mathematical expressions that can also be considered as vectors"
"Linear Regression","A statistical method used to model the relationship between a dependent variable and one or more independent variables."
"Parameter Estimation","The process of using data to estimate the parameters of a statistical model."
"Bayesian Linear Regression","A form of linear regression that incorporates prior distributions and Bayesian inference."
"Maximum Likelihood as Orthogonal Projection","A method for estimating parameters by maximizing the likelihood function, which can be interpreted as a projection in a statistical space."
"Dimensionality Reduction","The process of reducing the number of random variables under consideration, by obtaining a set of principal variables."
"Principal Component Analysis","A statistical procedure that transforms correlated variables into a set of uncorrelated variables called principal components."
"Maximum Variance Perspective","An approach in PCA that seeks to find the directions of maximum variance in the data."
"Eigenvector Computation","The process of finding eigenvectors, which are vectors that only scale under a linear transformation."
"Low-Rank Approximations","Approximations of a matrix that reduce its rank, often used in dimensionality reduction."
"Gaussian Mixture Model","A probabilistic model that assumes all data points are generated from a mixture of several Gaussian distributions."
"Parameter Learning via Maximum Likelihood","The process of estimating model parameters by maximizing the likelihood function given the data."
"EM Algorithm","An iterative method for finding maximum likelihood estimates in the presence of latent variables."
"Support Vector Machines","A set of supervised learning methods used for classification and regression analysis."
"Separating Hyperplanes","The decision boundary that separates different classes in a Support Vector Machine."
"Primal Support Vector Machine","A form of Support Vector Machine that directly optimized the decision boundary in the original feature space."
"Dual Support Vector Machine","A form of Support Vector Machine that optimizes a dual problem, often leading to better computational efficiency."
"Kernels","Functions used in Support Vector Machines to enable the algorithm to operate in a higher dimensional space without explicitly transforming the data."
"Numerical Solution","A solution to a mathematical problem obtained through numerical methods rather than analytical expressions."
"inner product space","A vector space V equipped with an inner product (-.-)."
"distance","Defined as d(x, y) := ||x — y||."
"Euclidean distance","The distance when using the dot product as the inner product."
"inner products","Functions that induce norms."
"Cauchy-Schwarz inequality","A fundamental inequality relating to inner products."
"metric","A function d: V x V -> R that measures distance."
"positive definite","A property of a metric where d(x, y) is greater than or equal to zero."
"symmetric","A property of a metric where d(x, y) = d(y, x)."
"triangle inequality","A condition of a metric that states d(x, z) ≤ d(x, y) + d(y, z)."
"angle","A geometric concept related to the relationship between vectors."
"0","The value that represents the lowest possible point in a numerical scale."
"x' Ax > 0","A mathematical expression indicating that the quadratic form associated with matrix A is positive for non-zero vector x."
"Aw 4 0","A matrix-vector product indicating that the resulting vector Aw is non-negative if vector a is non-zero."
"diagonal elements","Elements of a matrix that are located on the line from the top left to the bottom right."
"a;; = e} Ae; > 0","An expression that defines the positive nature of the diagonal elements using the standard basis vector."
"norms","Functions that assign a positive length or size to vectors, used for computing vector lengths."
"inner product","An operation that generalizes the dot product and induces a norm on a vector space."
"|x|] = \/ (@, x)","An expression to compute the norm of vector x using its inner product with another vector."
"Manhattan norm","A specific type of norm that calculates the distance between points in a grid-based system, without a corresponding inner product."
"Cauchy-Schwarz Inequality","A fundamental inequality involving inner products that has significant implications in various areas of mathematics."
"Automatic differentiation","A method used in computing derivatives of functions efficiently, often used in machine learning."
"expectations","In probability and statistics, the expected value or mean of a random variable."
"integrals","A fundamental concept in calculus representing the area under a curve or the accumulation of quantities."
"Taylor series expansion","A mathematical series that represents a function as an infinite sum of terms calculated from the values of its derivatives at a single point."
"Gaussian","Referring to a normal distribution characterized by its bell-shaped curve, defined by its mean and variance."
"mean","The average value of a set of numbers, calculated by dividing the sum of the values by the count of values."
"covariance","A measure of the degree to which two random variables change together, indicating the direction of their linear relationship."
"Gaussian distributed","Referring to a random variable that follows a normal distribution."
"extended Kalman filter","An algorithm used for estimating the state of a nonlinear system through the use of linear approximations." 
"nonlinear functions","Functions in which the relationship between the variables is not a straight line, often characterized by curves or complex behaviors."
"state-space models","Mathematical models that describe a system by a set of input, output, and state variables related by first-order differential equations."
"W. "The vector a is called the translation vector of ¢." ,"The vector a that is associated with affine mapping ¢."
"affine mapping" ,"A mapping ¢ : V — W that can be expressed as the composition of a linear mapping and a translation."
"linear mapping" ,"A mapping ® : V > W that preserves the operations of vector addition and scalar multiplication."
"translation" ,"A mapping 7 : W — W that shifts points in the vector space W."
"composition" ,"The operation of combining two functions, such as creating affine mapping by combining linear mapping and translation."
"geometric structure" ,"The arrangement and properties of geometric elements preserved by affine mappings."
"dimension" ,"The number of coordinates needed to specify a point in a space."
"parallelism" ,"The property where two lines or planes do not intersect and maintain the same direction." 
"Gaussian elimination" ,"An algorithm for solving systems of linear equations."
"linear equations" ,"Equations that represent straight lines and can be expressed in the form ax + by = c."
"numerical linear algebra" ,"The branch of mathematics concerned with algorithms for performing linear algebra computations."
"dual SVM","examples whose dual parameters lie strictly inside the box constraints,"
"Karush Kuhn Tucker conditions","conditions derived that relate to the dual support vector machine."
"convex hull","the smallest convex set that contains a set of points."
"support vectors","data points that lie on the margin in a support vector machine."
"hyperplane","this distance r is the margin."
"margin","the distance from the hyperplane."
"positive examples","examples that should be further than r from the hyperplane."
"negative examples","examples that should be further than distance r in the negative direction from the hyperplane."
"inequality","a mathematical statement that combines the requirements that examples are at least r away from the hyperplane."
"parameter vector w","a vector that is of unit length, |w| = 1."
"Euclidean norm","a method of measuring the length of the vector ||w||."
"scaling factor","the factor that relates the distance r to a vector of length 1."
"regularization","term does not contain b."
"unregularized term","b com- wy cae) t also plicates theoretical analysis."
"Soft Margin SVM","Loss Function View."
"empirical risk minimization","principle of empirical risk minimization."
"hinge loss","a convex upper bound of zero-one loss."
"zero-one loss","max{0, 1 — t}."
"loss term","can be interpreted as never allowing any examples inside the margin."
"training set","{(a,,41),...,(@n,yn)}."
"total loss","seek to minimize the total loss."
"/-regularization","regularizing the objective with /-regularization."
"Laplacian Eigenmaps","Dimensionality Reduction and Data Representation."

"Support Vector Machines","A set of supervised learning methods used for classification and regression."

"Duality","A concept that refers to two different perspectives or formulations of a problem in mathematics."

"Geometry","A branch of mathematics concerned with the properties and relations of points, lines, surfaces, and solids."
"regression","observed noisy function values from which we wish to infer the underlying function that generated the data."
"Lagrange multiplier","A technique used to find the local maxima and minima of a function subject to equality constraints."
"Lagrangian","A function that summarizes the dynamics of a system in classical mechanics, often used in optimization."
"primal problem","The original optimization problem that we want to solve."
"Lagrangian dual problem","An associated optimization problem derived from the primal problem that can provide bounds on the solution."
"minimax inequality","A principle in mathematical optimization concerning the minimization of the maximum loss."
"margin","when the margin is large, the “complexity” of the function class is low, and hence learning is possible"
"complexity","the “complexity” of the function class is low, and hence learning is possible"
"generalization error","useful for various different approaches for theoretically analyzing generalization error"
"parameter vector","we choose a scale for the data. We choose this scale such that the value of the predictor (w, a) + b is 1 at the closest example"
"predictor","the value of the predictor (w, a) + b is 1 at the closest example"
"hyper","the example in the dataset that is closest to the hyper"
"margin","the distance from the hyperplane to the closest data points."
"||w||","the norm of the weight vector w, representing its length."
"hyperplane","a flat affine subspace of one dimension less than its ambient space."
"SVM","support vector machine, a supervised learning model for classification."
"max","used to denote the maximization of a function."
"min","used to denote the minimization of a function."
"reciprocal of the norm","the inverse of the norm of a vector, often used in optimization."
"gradient","a vector representing the direction and rate of fastest increase of a scalar function."
"hard margin SVM","a type of support vector machine that requires maximum margin with no misclassifications."
"objective","the function we aim to maximize or minimize."
"Support Vector Machine","SVM is a supervised learning model for classification and regression tasks, particularly known for its effectiveness in high-dimensional spaces."
"Constrained Optimization","A mathematical approach focusing on maximizing or minimizing an objective function subject to constraints."
"Inner Product","A mathematical operation that takes two vectors and returns a scalar, used in various applications including determining angles and distances."
"Margin","The distance between the decision boundary and the closest data points; maximizing the margin can lead to better generalization."
"Linearly Separable Data","Data that can be separated by a straight line (or hyperplane) in its feature space."
"Objective Function","The function that is being optimized in a mathematical problem."
"Normalization","The process of adjusting values in a dataset to a common scale, often to improve performance in machine learning tasks."
"Pattern Recognition","A method in machine learning for identifying patterns in data."
"Variational Inference","A statistical method for approximating complex distributions."
"Numerical Optimization","The process of finding the best solution from all feasible solutions."
"Convex Analysis","A subfield of mathematics that studies convex sets and convex functions."
"Online Algorithms","Algorithms that process data in a serial fashion, providing output without access to future data."
"Stochastic Approximations","A method for finding solutions to problems that involve randomness."
"Gradient Method","A method for optimizing multi-stage allocation processes."
"Convex Optimization","A field of optimization dealing with convex functions and sets."
"Dimension Reduction","A process of reducing the number of random variables under consideration."
"High-Dimensional Data","Data that has a large number of features or dimensions."
"N-Way Generalization","A generalization technique in multidimensional scaling."
"Statistical Inference","The process of drawing conclusions about population parameters based on sample statistics."
"projection matrix","a matrix that is used to project data points onto a lower-dimensional space."
"trace operator","an operator that is linear and invariant to cyclic permutations of its arguments."
"data covariance matrix","a matrix that represents the covariance between different dimensions of the dataset."
"rank-one matrices","matrices that can be expressed as the outer product of two vectors."
"average squared reconstruction error","a metric that measures the error between the original data and its reconstructed approximation."
"rank-D","the number of linearly independent rows or columns in a matrix."
"rank-M","an approximation of a matrix that retains M dimensions."
"min","Minimum value in a mathematical context."
"convex hull","The smallest convex set that contains a given set of points."
"coefficients","Values that multiply a variable in an equation or expression."
"constraint","A condition that must be satisfied in an optimization problem."
"reproducing kernel Hilbert space","A specific type of Hilbert space associated with kernel functions."
"canonical feature map","A function that maps input data into a feature space using kernel functions."
"kernel function","A function that computes a dot product in a transformed feature space."
"kernel trick","A technique that allows operations in a high-dimensional space without explicitly mapping data."
"Support Vector Machines","A Library for Support Vector Machines."
"Probability","In Defense of Probability."
"Deep Learning","A method within machine learning that uses neural networks."
"Relational Model","A framework for managing databases."
"Linear Dimensionality Reduction","A technique to reduce the number of variables in a dataset."
"Numerical Linear Algebra","A branch of mathematics focused on linear equations and matrices."
"Bootstrap Methods","A statistical resampling method to estimate the distribution of a sample statistic."
"Large Scale Distributed Deep Networks","Networks used in deep learning that operate on large datasets across multiple machines."
"Halfspace","A mathematical concept referring to a subset of a space that divides the space into two parts."
"Depth","A statistical measure that provides a way to identify the most central points in a dataset." 
"Gaussian Processes","A collection of random variables, any finite number of which have a joint Gaussian distribution, used in statistics for regression and classification."
"Bayesian Skill Rating System","A system that uses Bayesian methods to rate skills based on performance, allowing for updates as new performance data becomes available."
"convex combination","The convex combination of points spans a two-dimensional area.",
"convex hull","The convex hull is the triangle formed by the edges corresponding to each pair of points.",
"non-negative weights","Non-negative weights corresponding to each example are used to build a convex hull.",
"conv (X)","The set conv (X) is defined with weights such that the sum of weights equals 1 and each weight is positive."
"inequality constraints","Ax=b is replaced by Ax <b and Agx>b."
"convex optimization","Particular software implementations of convex optimization methods may provide the ability to express equality constraints."
"SVM","The SVM is one of many approaches for studying binary classification."
"optimization problem","Since SVMs have a clear and well-defined optimization problem, many approaches based on numerical optimization techniques can be applied."
"numerical optimization techniques","Many approaches based on numerical optimization techniques can be applied."
"predictor","one of two labels {+1,-1}"
"error/loss function","needs to be appropriate for binary classification"
"squared loss","not suitable for binary classification"
"ideal loss function","to count the number of mismatches between the prediction and the label"
"loss","defined to be zero if they match, and one if they do not match"
"zero-one loss","denoted by 1(f(x) # y) and is called the zero-one loss"
"combinatorial optimization problem","more challenging to solve than continuous optimization problems"
"PCA","maximum-variance formulation of PCA discussed in Section 10.2."
"projection loss","average squared reconstruction error when projecting onto the /-dimensional principal subspace."
"D","the number of dimensions in the principal subspace."
"eigenvalues","the eigenvalues of the data covariance matrix."
"covariance matrix","data covariance matrix."
"minimum","to minimize (10.44) we need to select the smallest D - M eigenvalues."
"orthogonal complement","the eigenvectors are the basis of the orthogonal complement of the principal subspace."
"principal subspace","the basis of the principal subspace comprises the eigenvectors that are associated with the largest M eigenvalues."
"Multivariate Statistics","A Vector Space Approach."
"Approximation of One Matrix by Another of Lower Rank","A method for estimating a matrix using another matrix of reduced dimensions."
"Bootstrap","A statistical method that involves resampling with replacement to estimate properties of an estimator."
"Beautiful Differentiation","Concept related to the study of derivatives in calculus."
"Statistical Learning Theory","A framework for understanding the principles of learning from data."
"bel pair","a pair that allows an example to be within the margin or on the wrong side of the hyperplane"
"hyperplane","a flat affine subspace of one dimension less than its ambient space, used in classification"
"soft margin SVM","a Support Vector Machine that allows some examples to be within the margin or on the wrong side of the hyperplane"
"slack variable","a variable that measures the distance of a positive example to the positive margin hyperplane"
"objective","the function that is to be optimized in a mathematical problem"
"non-negative","a term used to describe a variable that is constrained to be zero or positive"
"optimization problem","a mathematical problem that seeks to maximize or minimize a particular function subject to constraints"
"Machine Learning" "Field of study that uses algorithms and statistical models to enable computers to perform tasks without explicit instructions."

"Primal Support Vector Machine" "A type of SVM that works directly in the input feature space rather than transforming it into a higher-dimensional space."

"inner product" "An algebraic operation that generalizes the dot product to more abstract vector spaces."

"bilinearity" "A property of a function that is linear in each of its arguments separately."

"normal vector" "A vector that is perpendicular to a given surface or hyperplane."

"hyperplane" "A subspace of one dimension less than its ambient space, used to divide a space into two half-spaces."

"distance" "A measure of the interval between two points in space."

"temporary variable" "A variable used for a specific, temporary purpose in a calculation or derivation."
"convex","A function or set that can be checked from first principles by recalling the definitions."
"negative entropy","A function that is 10 convex and is used in the context of optimization."
"nonnegative weighted sum","A sum of convex functions multiplied by nonnegative scalars, which results in a convex function."
"scalar","A nonnegative value used in the context of functions."
"closure","The idea introduced in vector spaces that relates to preserving convexity."
"Convex Analysis","Fundamentals of Convex Analysis."
"Online Learning","A method used for Latent Dirichlet Allocation."
"Latent Dirichlet Allocation","A generative statistical model used for topic modeling."
"Stochastic Variational Inference","A technique used in machine learning for approximating complex distributions."
"Kernel Methods","A class of algorithms for pattern analysis in machine learning."
"Linear Algebra","A branch of mathematics concerning linear equations and their representations."
"Matrix Analysis","A field of study in mathematics dealing with matrices and their properties."
"Principal Components","New variables obtained by transforming original correlated variables into a set of values of linearly uncorrelated variables."
"subspace","M-dimensional subspace with maximal variance"
"eigenvalue decomposition","the eigenvalue decomposition"
"eigenvalues","Eigenvalues sorted in descending order"
"variance","Variance captured by the principal components associated with the largest eigenvalues"
"principal component analysis","Dimensionality Reduction with Principal Component Analysis"
"principal subspace","the principal subspace onto which B,,_1 projects"
"ONB","an ONB of this principal subspace"
"eigenvector","b; is also an eigenvector of S with eigen-value λ;"
"eigenvalue","λ is the largest eigenvalue of S"
"equation","Equation (10.21) reveals that b,, is not only an eigenvector of S' but also of S"
"hyperplane","A flat affine subspace of one dimension less than its ambient space, defined by a linear equation."
"distance","The amount of space between two points, measured along a straight line."
"orthogonal projection","The projection of a point onto a line or a plane, which is perpendicular to the line or plane."
"scaling","The process of multiplying a vector by a scalar value to adjust its magnitude."
"unit length","A vector whose length (or norm) is equal to 1."
"norm","A function that assigns a positive length or size to a vector."
"vector addition","The operation of adding two vectors together to form a new vector."
"subspace","A vector space that is a subset of a larger vector space."
"SVM","Support Vector Machine, a supervised learning model used for classification and regression tasks."
"Variational Methods","Techniques used in mathematical optimization and in the field of graphical models."
"Kalman Filter","An algorithm that uses a series of measurements observed over time to produce estimates of unknown variables."
"SVD","Singular Value Decomposition, a factorization method for matrices that reveals valuable properties of the matrix." 
"Linear Filtering","A process that applies a linear operation to a signal in order to extract information or reduce noise."
